Vivado Simulator 2019.1
Time resolution is 1 ps
a,	b,	s,	c,	check,	actual
  0,	  0,	  0,	0,	1,	  0
  0,	  1,	  4,	0,	1,	  4
  0,	  2,	  8,	0,	1,	  8
  0,	  3,	 12,	0,	1,	 12
  0,	  4,	 16,	0,	1,	 16
  0,	  5,	 20,	0,	1,	 20
  0,	  6,	 24,	0,	1,	 24
  0,	  7,	 28,	0,	1,	 28
  0,	  8,	 32,	0,	1,	 32
  0,	  9,	 36,	0,	1,	 36
  0,	 10,	 40,	0,	1,	 40
  0,	 11,	 44,	0,	1,	 44
  0,	 12,	 48,	0,	1,	 48
  0,	 13,	 52,	0,	1,	 52
  0,	 14,	 56,	0,	1,	 56
  0,	 15,	 60,	0,	1,	 60
  0,	 16,	 64,	0,	1,	 64
  0,	 17,	 68,	0,	1,	 68
  0,	 18,	 72,	0,	1,	 72
  0,	 19,	 76,	0,	1,	 76
  0,	 20,	 80,	0,	1,	 80
  0,	 21,	 84,	0,	1,	 84
  0,	 22,	 88,	0,	1,	 88
  0,	 23,	 92,	0,	1,	 92
  0,	 24,	 96,	0,	1,	 96
  0,	 25,	100,	0,	1,	100
  0,	 26,	104,	0,	1,	104
  0,	 27,	108,	0,	1,	108
  0,	 28,	112,	0,	1,	112
  0,	 29,	116,	0,	1,	116
  0,	 30,	120,	0,	1,	120
  0,	 31,	124,	0,	1,	124
  0,	 32,	128,	0,	1,	128
  0,	 33,	132,	0,	1,	132
  0,	 34,	136,	0,	1,	136
  0,	 35,	140,	0,	1,	140
  0,	 36,	144,	0,	1,	144
  0,	 37,	148,	0,	1,	148
  0,	 38,	152,	0,	1,	152
  0,	 39,	156,	0,	1,	156
  0,	 40,	160,	0,	1,	160
  0,	 41,	164,	0,	1,	164
  0,	 42,	168,	0,	1,	168
  0,	 43,	172,	0,	1,	172
  0,	 44,	176,	0,	1,	176
  0,	 45,	180,	0,	1,	180
  0,	 46,	184,	0,	1,	184
  0,	 47,	188,	0,	1,	188
  0,	 48,	192,	0,	1,	192
  0,	 49,	196,	0,	1,	196
  0,	 50,	200,	0,	1,	200
  0,	 51,	204,	0,	1,	204
  0,	 52,	208,	0,	1,	208
  0,	 53,	212,	0,	1,	212
  0,	 54,	216,	0,	1,	216
  0,	 55,	220,	0,	1,	220
  0,	 56,	224,	0,	1,	224
  0,	 57,	228,	0,	1,	228
  0,	 58,	232,	0,	1,	232
  0,	 59,	236,	0,	1,	236
  0,	 60,	240,	0,	1,	240
  0,	 61,	244,	0,	1,	244
  0,	 62,	248,	0,	1,	248
  0,	 63,	252,	0,	1,	252
  0,	 64,	256,	0,	1,	256
  0,	 65,	260,	0,	1,	260
  0,	 66,	264,	0,	1,	264
  0,	 67,	268,	0,	1,	268
  0,	 68,	272,	0,	1,	272
  0,	 69,	276,	0,	1,	276
  0,	 70,	280,	0,	1,	280
  0,	 71,	284,	0,	1,	284
  0,	 72,	288,	0,	1,	288
  0,	 73,	292,	0,	1,	292
  0,	 74,	296,	0,	1,	296
  0,	 75,	300,	0,	1,	300
  0,	 76,	304,	0,	1,	304
  0,	 77,	308,	0,	1,	308
  0,	 78,	312,	0,	1,	312
  0,	 79,	316,	0,	1,	316
  0,	 80,	320,	0,	1,	320
  0,	 81,	324,	0,	1,	324
  0,	 82,	328,	0,	1,	328
  0,	 83,	332,	0,	1,	332
  0,	 84,	336,	0,	1,	336
  0,	 85,	340,	0,	1,	340
  0,	 86,	344,	0,	1,	344
  0,	 87,	348,	0,	1,	348
  0,	 88,	352,	0,	1,	352
  0,	 89,	356,	0,	1,	356
  0,	 90,	360,	0,	1,	360
  0,	 91,	364,	0,	1,	364
  0,	 92,	368,	0,	1,	368
  0,	 93,	372,	0,	1,	372
  0,	 94,	376,	0,	1,	376
  0,	 95,	380,	0,	1,	380
  0,	 96,	384,	0,	1,	384
  0,	 97,	388,	0,	1,	388
  0,	 98,	392,	0,	1,	392
  0,	 99,	396,	0,	1,	396
  0,	100,	400,	0,	1,	400
  0,	101,	404,	0,	1,	404
  0,	102,	408,	0,	1,	408
  0,	103,	412,	0,	1,	412
  0,	104,	416,	0,	1,	416
  0,	105,	420,	0,	1,	420
  0,	106,	424,	0,	1,	424
  0,	107,	428,	0,	1,	428
  0,	108,	432,	0,	1,	432
  0,	109,	436,	0,	1,	436
  0,	110,	440,	0,	1,	440
  0,	111,	444,	0,	1,	444
  0,	112,	448,	0,	1,	448
  0,	113,	452,	0,	1,	452
  0,	114,	456,	0,	1,	456
  0,	115,	460,	0,	1,	460
  0,	116,	464,	0,	1,	464
  0,	117,	468,	0,	1,	468
  0,	118,	472,	0,	1,	472
  0,	119,	476,	0,	1,	476
  0,	120,	480,	0,	1,	480
  0,	121,	484,	0,	1,	484
  0,	122,	488,	0,	1,	488
  0,	123,	492,	0,	1,	492
  0,	124,	496,	0,	1,	496
  0,	125,	500,	0,	1,	500
  0,	126,	504,	0,	1,	504
  0,	127,	508,	0,	1,	508
  1,	  0,	  1,	0,	1,	  1
  1,	  1,	  5,	0,	1,	  5
  1,	  2,	  9,	0,	1,	  9
  1,	  3,	 13,	0,	1,	 13
  1,	  4,	 17,	0,	1,	 17
  1,	  5,	 21,	0,	1,	 21
  1,	  6,	 25,	0,	1,	 25
  1,	  7,	 29,	0,	1,	 29
  1,	  8,	 33,	0,	1,	 33
  1,	  9,	 37,	0,	1,	 37
  1,	 10,	 41,	0,	1,	 41
  1,	 11,	 45,	0,	1,	 45
  1,	 12,	 49,	0,	1,	 49
  1,	 13,	 53,	0,	1,	 53
  1,	 14,	 57,	0,	1,	 57
  1,	 15,	 61,	0,	1,	 61
  1,	 16,	 65,	0,	1,	 65
  1,	 17,	 69,	0,	1,	 69
  1,	 18,	 73,	0,	1,	 73
  1,	 19,	 77,	0,	1,	 77
  1,	 20,	 81,	0,	1,	 81
  1,	 21,	 85,	0,	1,	 85
  1,	 22,	 89,	0,	1,	 89
  1,	 23,	 93,	0,	1,	 93
  1,	 24,	 97,	0,	1,	 97
  1,	 25,	101,	0,	1,	101
  1,	 26,	105,	0,	1,	105
  1,	 27,	109,	0,	1,	109
  1,	 28,	113,	0,	1,	113
  1,	 29,	117,	0,	1,	117
  1,	 30,	121,	0,	1,	121
  1,	 31,	125,	0,	1,	125
  1,	 32,	129,	0,	1,	129
  1,	 33,	133,	0,	1,	133
